,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
1191,IKBKAP,0.896130559,0.18
1194,ILF2,0.974644703,0.6
1198,IMPDH2,0.840298585,0.88
1202,INPPL1,0.774624401,0.04
1208,IPO4,0.718347608,0.29
1209,IPO5,0.79378739,0.64
1210,IPO7,0.755477564,0.2
1213,IQGAP1,0.814115938,0.84
1217,IRF2BP1,1.07276916,0.74
1218,IRF2BP2,0.763598633,0.09
1219,IRF2BPL,1.025638496,0.72
1226,ITGA3,0.79651553,0.83
1229,ITGA6,0.968992991,0.13
1230,ITGA7,0.965678537,0.36
1231,ITGAV,1.152559589,0.28
1232,ITGB1,0.901686297,0.16
1234,ITGB5,0.667798025,0.25
1242,JSRP1,0.568053829,0.21
1244,KANK1,1.6298974,0.98
1245,KANK2,1.130498983,0.77
1247,KCTD12,0.779356295,0.02
1250,KHDRBS1,0.991775384,0.49
1251,KHSRP,0.806023994,0.14
1252,KIAA0020,0.976978941,0.25
1253,KIAA0196,1.054762083,0.76
1255,KIAA1033,0.710711371,0.4
1261,KIF13B,1.07297031,0.91
1263,"KIF1B,KIF1BBETA",0.695111114,0.02
1268,KIF5B,0.797950085,0.04
1271,KLC1,0.759840692,0.01
1272,KLC2,0.786899405,0.02
1278,KLHL31,1.141742065,0.97
1279,KLHL40,1.02916164,0.46
1280,KLHL41,0.910415392,0.09
1283,KPNA2,0.754505811,0.07
1287,KPNB1,1.006940549,0.51
1297,LAMC1,1.37963995,0.7
1303,LAPTM4A,0.949010462,0.77
1304,LARP1,0.802499306,0.11
1309,LARS,0.54424945,0.17
1310,LASP1,0.902046464,0.43
1313,LDHA,1.087035503,0.71
1314,LDHB,0.878977821,0.57
1316,LEO1,0.720979327,0.15
1317,LGALS1,0.8426252,0.07
1319,LGALS3BP,2.07497067,0.4
1323,LIMCH1,0.748617088,0.44
1324,LIMD1,0.891881222,0.1
1329,LMCD1,0.871744891,0.34
1330,LMNA,0.775884934,0.5
1331,LMO7,0.907098042,0.1
1332,LMOD3,0.762839446,0.04
1337,LPIN1,1.025467701,0.61
1338,LPP,0.755830939,0.01
1348,LRRC17,0.858896092,0.24
1349,LRRC40,1.364302386,0.1
1350,LRRC47,0.850528157,0.12
1353,LRRFIP1,0.815331362,0.06
1357,LSM14A,0.669260183,0.01
1365,LTN1,0.890546387,0.25
1366,LTV1,0.957798462,0.02
1368,LUC7L2,0.577022563,0.01
1370,LUZP1,0.87378423,0.13
1371,LYAR,0.683765793,0.03
1375,MACROD1,1.297183191,0.85
1376,MAD1L1,0.72024457,0.14
1378,MAGED1,0.843375818,0.3
1379,MAGED2,0.795749986,0.04
1380,MANF,1.21816811,0.68
1382,MAP1B,0.72327338,0.03
1383,MAP1S,0.864503513,0.06
1385,MAP2K2,1.024564988,0.77
1388,MAP4K4,1.006301896,0.49
1390,MAP7D3,1.13629691,0.66
1391,MAPK1,0.932082579,0.28
1395,MAPRE1,0.762454678,0.79
1396,MAPRE3,0.796443317,0.2
1397,MARCKS,0.734275754,0.02
1398,MARCKSL1,0.877901437,0.11
1399,MARK2,0.57661669,0.07
1400,MARK3,1.187376557,0.84
1401,MARS,0.952599665,0.93
1407,MATR3,0.784163811,0.14
1414,MDH2,0.673791762,0.44
1416,MED15,0.943778121,0.84
1420,METAP2,0.686721483,0.01
1424,MFGE8,1.001398166,0.27
1425,MGLL,1.725876462,0.18
1429,MICAL1,0.947900335,0.84
1439,MLLT11,0.966311456,0.28
1441,MLST8,0.886244203,0.05
1450,"MOB1A,MOB1B",0.815133812,0.38
1467,MRTO4,0.722672388,0.05
1469,MSH6,0.741123542,0.03
1470,MSN,0.816848269,0.06
1473,MTHFD1,0.849359011,0.25
1476,MTOR,0.838377895,0.14
1477,MTSS1L,0.801629824,0.04
1478,MTX3,1.16430956,0.98
1482,MURC,0.784326283,0.12
1484,MVB12A,0.808453409,0.01
1486,MVP,0.8485895,0.17
1488,MYBBP1A,0.705599799,0.02
1491,MYBPH,0.797916036,0.44
1495,MYH10,0.402108155,0.05
1500,MYH3,0.870392257,0.14
1501,MYH7,0.83354296,0.37
1502,MYH8,0.645070428,0.04
1503,MYL12A,0.609063925,0.06
1506,MYL4,0.578628612,0.02
1507,MYL6B,0.591228735,0.07
1508,MYL9,0.559853265,0.14
1510,MYLPF,0.856466751,0.12
1511,MYO18A,0.954217923,0.42
1512,MYO18B,1.091182791,0.9
1514,MYO1C,0.781579343,0.08
1519,MYO9B,0.765774009,0.15
1520,MYOF,0.525726234,0.79
1522,MYOM1,1.022128509,0.85
1523,MYOM2,0.461198804,0.56
1524,MYOM3,0.708704143,0.21
1527,MYPN,0.812664583,0.02
1532,NAA25,0.98552176,0.13
1535,NAA50,0.660930859,0.18
1537,NAMPT,0.542216545,0.29
1538,NAP1L1,0.890930176,0.19
1540,NAPA,0.911287131,0.58
1541,NARS,0.86282146,0.32
1543,NAV1,1.099673997,0.79
1545,NAV3,1.362221055,0.46
1546,NCAM1,0.862870267,0.21
1554,NCKAP1,0.734781537,0.01
1555,NCKAP5L,1.089992265,0.86
1556,NCL,0.713503652,0.04
1563,NEB,0.850168522,0.01
1566,NEDD4L,1.035724748,0.42
1577,NES,0.75138585,0.11
1578,NEXN,0.688660978,0.14
1589,NIFK,0.650201477,0.51
1594,NMD3,0.625950093,0.33
1597,NMT1,0.868063841,0.07
1598,NNMT,0.734441144,0.36
1603,NONO,0.764320551,0.05
1606,NOP2,0.733045684,0.12
1607,NOP56,0.854188579,0.38
1608,NOP58,0.995201017,0.62
1613,NPLOC4,0.705246032,0.03
1614,NPM1,0.872778661,0.06
1616,NR3C1,0.92658809,0.17
1622,NT5E,0.935997028,0.88
1623,NTPCR,0.757986974,0.2
1625,NUBP2,1.242611937,0.17
1627,NUDC,1.262845572,0.11
1629,NUDT16,0.747543696,0.84
1631,NUDT21,0.753772381,0.06
1632,NUFIP2,0.700237364,0.01
1635,NUMBL,0.752772914,0.06
1640,NUP214,0.953394101,0.38
1641,NUP54,1.243158508,0.51
1643,NUP88,0.954009839,0.78
1646,NUPL1,1.341232958,0.1
1648,NXF1,0.974328309,0.49
1650,OBSCN,0.227071953,0.47
1651,OBSL1,0.773748262,0.08
1660,OSBPL3,0.725588006,0.11
1662,OTUB1,0.854754347,0.51
1663,OTUD4,0.767929154,0.01
1664,OTUD6B,0.863259062,0.52
1666,OXSR1,1.050969167,0.6
1670,PA2G4,0.739445322,0.01
1671,PABPC1,0.93666258,0.33
1673,PACS1,0.750648745,0.03
1678,PAF1,0.716446096,0.17
1681,PAICS,0.930517429,0.89
1684,PAK2,0.924209717,0.73
1686,PALLD,0.777225698,0.02
1689,PARD3,0.934767381,0.05
1691,PARK7,0.861761381,0.07
1692,PARP1,0.75431678,0.03
1693,PARP4,0.863297141,0.16
1694,PARVA,0.943512872,0.54
1698,PBDC1,0.886348823,0.42
1702,PCBP1,0.918180314,0.49
1703,PCBP4,1.269796961,0.89
1705,PCMT1,1.065122748,0.71
1707,PCYT1A,1.125237607,0.57
1708,PDAP1,0.521745343,0.01
1709,PDCD10,1.017810533,0.67
1721,PDLIM3,0.886412823,0.13
1722,PDLIM4,0.829668821,0.09
1723,PDLIM5,0.710580085,0.02
1725,PDRG1,0.77986594,0.16
1726,PDS5A,0.896511309,0.19
1728,PDXDC1,1.619974804,0.06
1733,PELO,0.833945645,0.01
1734,PES1,0.498759934,0.31
1735,PFDN2,0.734058681,0.01
1738,PFKL,0.955392081,0.09
1739,PFKM,0.809249735,0.01
1740,PFKP,0.790901049,0.21
1741,PGAM1,1.368476681,1.0
1743,PGD,1.634967923,0.47
1753,PHF6,0.804633869,0.65
1754,PHGDH,0.623983397,0.31
1757,PHLDB1,0.857172739,0.12
1761,PICALM,0.920622827,0.15
1763,PIH1D1,0.931215489,0.13
1769,PIN4,0.517391207,0.01
1777,PKM,0.997376845,0.79
1778,PKN1,1.004224067,0.47
1779,PKN2,0.981401696,0.03
1785,PLCB3,1.118310813,0.85
1789,PLEC,0.897111079,0.59
1797,PLIN3,0.98744395,0.77
1799,PLOD1,0.91152403,0.89
1807,PNO1,0.959648496,0.56
1812,POLDIP3,0.863696808,0.44
1818,POLR2E,0.769800004,0.14
1823,PPA1,0.595981307,0.09
1825,PPFIA1,0.966008891,0.56
1826,PPFIA4,0.897428192,0.17
1828,PPIA,0.875944983,0.39
1829,PPIB,0.844914839,0.05
1838,PPP1CA,0.815650695,0.06
1839,PPP1CB,0.776563448,0.02
1845,PPP1R14B,0.700810575,0.03
1846,PPP1R18,0.815121744,0.04
1847,PPP1R21,0.822534401,0.03
1849,PPP2R1A,0.908493537,0.08
1850,PPP2R1B,0.994878841,0.73
1851,PPP2R2A,0.733962124,0.01
1852,PPP2R2D,0.705113976,0.01
1853,PPP2R3A,0.889398701,0.09
1854,PPP2R3B,0.874245143,0.14
1855,PPP2R5B,0.964786958,0.48
1856,PPP2R5C,1.154203099,0.33
1857,PPP2R5D,0.972732351,0.56
1858,PPP2R5E,0.824925702,0.26
1859,PPP3CA,1.312753398,0.71
1863,PPP4C,0.999635478,0.87
1864,PPP4R1,0.79000043,0.01
1865,PPP4R2,0.863633285,0.06
1866,PPP6C,1.369895106,0.58
1869,PRDX1,0.806930663,0.27
1870,PRDX2,0.790456898,0.31
1874,PRDX6,1.052226044,0.91
1875,PRKAA1,1.171750556,0.82
1878,PRKAB2,0.97186058,0.7
1879,PRKAG1,1.2440813,0.13
1883,PRKCDBP,0.533043588,0.05
1886,PRKDC,0.797205035,0.01
1887,PRKRA,0.768648237,0.01
1888,PRMT5,1.24300797,0.21
1890,PROB1,0.684592602,0.91
1892,PRPF19,0.912315929,0.21
1893,PRPF31,1.002708146,0.79
1897,PRPS1,0.83048043,0.04
1902,PRRC2A,0.729508197,0.01
1903,PRRC2B,0.839890312,0.47
1904,PRRC2C,0.691416091,0.01
1906,PRUNE2,1.487377764,0.23
1909,PSMA1,1.122804857,0.46
1910,PSMA2,1.165631579,0.39
1913,PSMA5,0.834581692,0.3
1914,PSMA6,0.862410009,0.58
1915,PSMA7,0.992892513,0.79
1918,PSMB5,0.883201844,0.43
1921,PSMC1,0.970138029,0.75
1925,PSMC5,0.861936873,0.64
1927,PSMD1,0.850822615,0.51
1929,PSMD11,0.8716827,0.55
1932,PSMD14,0.928855956,0.49
