Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
GALK1,0.775806308,0.09,-0.3662315885677681,1.0457574905606752
GAPDH,0.869029349,0.2,-0.20252319409422048,0.6989700043360187
GBF1,0.703329832,0.28,-0.5077266838296577,0.5528419686577808
GCN1L1,0.80363012,0.02,-0.3153964576948341,1.6989700043360187
GET4,0.972555106,0.41,-0.040148097847071636,0.38721614328026455
GFPT1,0.899653446,0.6,-0.1525587245800238,0.2218487496163564
GGA2,0.925885152,0.68,-0.11109484407557911,0.16749108729376366
GIGYF2,0.755366515,0.03,-0.40475126360355357,1.5228787452803376
GIT1,1.203870412,0.37,0.2676801046999148,0.431798275933005
GIT2,0.799294576,0.14,-0.32320079572408994,0.8538719643217619
GLIPR2,0.891520399,0.48,-0.1656602861571752,0.3187587626244128
GMPPA,0.823813852,0.48,-0.27960971031302867,0.3187587626244128
GNB1,0.900777114,0.05,-0.1507579214858044,1.3010299956639813
GNB2L1,0.998797754,0.68,-0.0017355178109698395,0.16749108729376366
GNL3,1.112352276,0.33,0.15361375420653764,0.4814860601221125
GREM1,0.553229283,0.12,-0.8540505730323814,0.9208187539523752
GRWD1,0.902182128,0.53,-0.14850938797125665,0.27572413039921095
GSK3A,0.726962076,0.11,-0.46004799098159554,0.958607314841775
GSK3B,0.761889117,0.04,-0.3923470472927166,1.3979400086720375
GSTK1,0.981039245,0.76,-0.027617244442446495,0.11918640771920865
GTF2F1,0.621709284,0.01,-0.6856879720506837,2.0
GTF2F2,0.881681081,0.07,-0.18167119201070892,1.154901959985743
GTF2I,0.790365345,0.12,-0.33940840415495604,0.9208187539523752
GTPBP1,0.766591134,0.02,-0.38347078212357133,1.6989700043360187
GTPBP4,1.010472233,0.34,0.015029678111913592,0.46852108295774486
H1F0,0.643556745,0.09,-0.6358607325784901,1.0457574905606752
H1FX,0.851523272,0.04,-0.23188213581126532,1.3979400086720375
"H2AFV,H2AFZ",0.811936684,0.19,-0.3005608665418747,0.721246399047171
HBS1L,1.136751685,0.74,0.1849171425819839,0.13076828026902382
HDLBP,0.86177728,0.07,-0.21461303132350307,1.154901959985743
HIST1H1B,0.782921628,0.06,-0.353060196763978,1.2218487496163564
HIST1H1C,0.760232627,0.05,-0.3954871520329024,1.3010299956639813
"HIST1H2BA,HIST1H2BB,HIST1H2BJ,HIST1H2BO,HIST2H2BE,HIST3H2BB",1.022882334,0.99,0.0326401959941397,0.004364805402450088
HIST1H4A,1.791953477,0.62,0.8415331823884575,0.20760831050174613
HNRNPA0,0.87642523,0.01,-0.1902970785282392,2.0
"HNRNPA2B1,HNRPA2B1",0.886604713,0.01,-0.17363706330719905,2.0
HNRNPA3,0.852401518,0.01,-0.23039493253971408,2.0
HNRNPAB,0.843817531,0.07,-0.24499703384819488,1.154901959985743
HNRNPC,0.645134783,0.06,-0.6323274917906375,1.2218487496163564
HNRNPD,0.952602491,0.35,-0.07005377361703735,0.4559319556497244
HNRNPDL,0.962474534,0.46,-0.05517972578513864,0.3372421683184259
HNRNPF,0.886620821,0.47,-0.17361085239237337,0.3279021420642826
HNRNPH1,0.652616238,0.01,-0.6156932107511344,2.0
HNRNPH3,0.845194363,0.12,-0.24264494959636534,0.9208187539523752
HNRNPK,0.743598131,0.01,-0.4274049507736203,2.0
HNRNPL,0.802060361,0.08,-0.3182172806030797,1.0969100130080565
HNRNPLL,0.863193877,0.33,-0.21224346367249078,0.4814860601221125
HNRNPM,0.830983684,0.16,-0.26710794429772894,0.7958800173440752
HNRNPR,1.065796428,0.9,0.09193190304890224,0.045757490560675115
HNRNPU,0.807337623,0.01,-0.3087559701260915,2.0
HNRNPUL1,0.749954465,0.08,-0.4151250927628328,1.0969100130080565
"HNTN1,TNNT2",0.802270235,0.52,-0.31783982201506333,0.28399665636520083
